"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","hidden_size","learning_rate","avg_accuracy","avg_f1","avg_f2","avg_fn","avg_fp","avg_loss","avg_precision","avg_recall","avg_roc_auc","avg_specificity","avg_tn","avg_tp"
"AVG_bs(10000)_lr(0.01)_hs(98)_e(10)","finished","-","","","2025-05-21T12:35:15.000Z","1","","10000","10","98","0.01","0.9998277922179036","0.9978989524550194","0.998033343158408","27.6","34.2","0.0037494364647298224","0.9976754140994254","0.9981230485363396","0.999751727753768","0.999900628835856","344130","14677"
"AVG_bs(15000)_lr(0.01)_hs(25)_e(30)","finished","-","","","2025-05-22T01:12:13.000Z","2","","15000","30","25","0.01","0.9998082864867616","0.9976603080311652","0.9976766886914128","34","34.8","0.003651178343473778","0.9976338283563796","0.997687814098008","0.9997242616931984","0.999898885480944","344129.4","14670.6"
"AVG_bs(20000)_lr(0.01)_hs(49)_e(30)","finished","-","","","2025-05-22T17:02:21.000Z","1","","20000","30","49","0.01","0.9997943537795084","0.9974900811059462","0.9974046331664338","39","34.8","0.0036657493781401887","0.9976329052414886","0.9973477705724368","0.999727845388538","0.9998988854792554","344129.4","14665.6"
"AVG_bs(20000)_lr(0.01)_hs(98)_e(20)","finished","-","","","2025-05-22T17:52:00.000Z","1","","20000","20","98","0.01","0.9998383810431146","0.9980286202945854","0.9982729151208676","23","35","0.0037256537134655655","0.9976218361258828","0.9984358719303356","0.9997453519692888","0.9998983043626396","344129.2","14681.6"
"AVG_bs(15000)_lr(0.01)_hs(25)_e(20)","finished","-","","","2025-05-22T00:28:08.000Z","2","","15000","20","25","0.01","0.9998322506662104","0.9979537073548436","0.9981531847263116","25.2","35","0.0037643672437601104","0.9976215956517738","0.9982862574039536","0.9997434488776344","0.9998983043677052","344129.2","14679.4"
"AVG_bs(10000)_lr(0.01)_hs(25)_e(20)","finished","-","","","2025-05-21T09:31:47.000Z","1","","10000","20","25","0.01","0.9998004841921307","0.9975652004119756","0.9975407849426924","36.4","35.2","0.0036753816737069025","0.9976062711408126","0.9975246024554728","0.9997272727834636","0.9998977232443356","344129","14668.2"
"AVG_bs(15000)_lr(0.01)_hs(49)_e(20)","finished","-","","","2025-05-22T01:58:00.000Z","2","","15000","20","49","0.01","0.9998216618487644","0.9978242797107388","0.997962687617614","28.6","35.4","0.003716519434237853","0.9975939427410818","0.9980550453810688","0.9997374293589776","0.9998971421310971","344128.8","14676"
"AVG_bs(2000)_lr(0.001)_hs(25)_e(20)","finished","-","","","2025-05-20T12:20:40.000Z","2","","2000","20","25","0.001","0.9998188752855725","0.9977901744019372","0.9979082463982524","29.6","35.4","0.00373519813182712","0.9975936454694916","0.997987025576268","0.9997484618424596","0.9998971421260316","344128.8","14675"
"AVG_bs(20000)_lr(0.01)_hs(25)_e(20)","finished","-","","","2025-05-22T14:35:44.000Z","2","","20000","20","25","0.01","0.9998378237382411","0.998021888496208","0.9982865359076584","22.6","35.6","0.0038478655675943537","0.997581236782261","0.9984630744874072","0.9997762523223936","0.999896561009416","344128.6","14682"
"AVG_bs(20000)_lr(0.01)_hs(49)_e(20)","finished","-","","","2025-05-22T16:14:06.000Z","2","","20000","20","49","0.01","0.9998322506662104","0.9979537906224936","0.9981777020469556","24.6","35.6","0.0037567500083241618","0.997580931176166","0.9983270580021524","0.9997569342773822","0.999896561012793","344128.6","14680"
"AVG_bs(10000)_lr(0.01)_hs(49)_e(10)","finished","-","","","2025-05-21T10:48:23.000Z","2","","10000","10","49","0.01","0.999819432619952","0.9977970622866243","0.9979273117556288","29.2","35.6","0.0037904626903279377","0.9975803649216703","0.998014241082974","0.9997580302761676","0.9998965610111044","344128.6","14675.4"
"AVG_bs(2000)_lr(0.001)_hs(98)_e(10)","finished","-","","","2025-05-20T14:24:45.000Z","2","","2000","10","98","0.001","0.9998194326152932","0.997797010979454","0.9979354539346712","29","35.8","0.0038438992499787777","0.9975666430792453","0.9980278418990232","0.9997558068586644","0.9998959798894236","344128.4","14675.6"
"AVG_bs(15000)_lr(0.01)_hs(98)_e(10)","finished","-","","","2025-05-22T02:58:11.000Z","2","","15000","10","98","0.01","0.9998372664318144","0.9980151455978123","0.9982919924298496","22.4","36","0.003835881679939727","0.9975542031697342","0.9984766743784824","0.9997726470520508","0.999895398772808","344128.2","14682.2"
"AVG_bs(10000)_lr(0.01)_hs(25)_e(10)","finished","-","","","2025-05-21T08:53:57.000Z","2","","10000","10","25","0.01","0.9998311360518044","0.997940210606578","0.9981722680468352","24.6","36","0.0038489912963187737","0.9975537914180558","0.9983270589271264","0.9997678179602104","0.9998953987761848","344128.2","14680"
"AVG_bs(20000)_lr(0.01)_hs(25)_e(30)","finished","-","","","2025-05-22T15:25:04.000Z","2","","20000","30","25","0.01","0.9998233337556204","0.9978448278130744","0.9980280309942626","27.2","36.2","0.003717239674491187","0.9975398014211618","0.9981502446185944","0.9997367271699572","0.9998948176578808","344128","14677.4"
"AVG_bs(15000)_lr(0.01)_hs(49)_e(30)","finished","-","","","2025-05-22T02:42:17.000Z","1","","15000","30","49","0.01","0.999777077295814","0.9972789766712232","0.9971243236505638","43.8","36.2","0.0036174982689165824","0.9975372644235204","0.9970213546871572","0.999714684227284","0.9998948176578808","344128","14660.8"
"AVG_bs(20000)_lr(0.01)_hs(98)_e(10)","finished","-","","","2025-05-22T17:19:31.000Z","2","","20000","10","98","0.01","0.9998461833392984","0.9981242141091304","0.9984987988406268","18.4","36.8","0.003917221890555487","0.9975006058575556","0.9987486971742786","0.9997812469101298","0.9998930743029688","344127.4","14686.2"
"AVG_bs(15000)_lr(0.01)_hs(49)_e(10)","finished","-","","","2025-05-22T01:27:52.000Z","1","","15000","10","49","0.01","0.9998389383464352","0.9980356649370276","0.9983573150027216","21","36.8","0.00392043786365927","0.997500103928623","0.9985718791658512","0.9997817390125584","0.9998930742995916","344127.4","14683.6"
"AVG_bs(2000)_lr(0.001)_hs(49)_e(10)","finished","-","","","2025-05-20T13:12:28.000Z","2","","2000","10","49","0.001","0.999837823736688","0.9980220715446247","0.9983437211440376","21.2","37","0.003929021120064944","0.9974864885137456","0.998558279274776","0.9997690767190636","0.999892493179599","344127.2","14683.4"
"AVG_bs(10000)_lr(0.01)_hs(49)_e(20)","finished","-","","","2025-05-21T11:23:58.000Z","1","","10000","20","49","0.01","0.999808286475891","0.9976609960449314","0.9977668162693276","31.8","37","0.003618686161482603","0.9974848650359084","0.9978374221495728","0.9997228145930284","0.9998924931812876","344127.2","14672.8"
"AVG_bs(2000)_lr(0.001)_hs(25)_e(30)","finished","-","","","2025-05-20T12:59:28.000Z","1","","2000","30","25","0.001","0.9997999268639628","0.9975586870466032","0.9976034679917224","34.8","37","0.003626033169275615","0.997484355901789","0.9976333978841778","0.9997238279610932","0.999892493179599","344127.2","14669.8"
"AVG_bs(15000)_lr(0.01)_hs(98)_e(20)","finished","-","","","2025-05-22T03:30:38.000Z","1","","15000","20","98","0.01","0.9998205472001932","0.9978108326948096","0.9980144014302992","27.2","37.2","0.0036736433437909","0.9974720253995548","0.998150232593934","0.999728795228409","0.999891912071426","344127","14677.4"
"AVG_bs(2000)_lr(0.001)_hs(49)_e(20)","finished","-","","","2025-05-20T13:36:22.000Z","1","","2000","20","49","0.001","0.9998066145566114","0.9976405503476796","0.9977423325620992","32.2","37.2","0.003666938686833924","0.9974710199228232","0.9978102140426576","0.9997332383632532","0.999891912061295","344127","14672.4"
"AVG_bs(20000)_lr(0.01)_hs(98)_e(30)","finished","-","","","2025-05-22T18:40:21.000Z","1","","20000","30","98","0.01","0.9997770772927084","0.9972788695999756","0.9971813746578668","42.4","37.6","0.0036311459067898495","0.997442113876474","0.9971165659493432","0.999721708838458","0.9998907498246868","344126.6","14662.2"
"AVG_bs(2000)_lr(0.001)_hs(98)_e(20)","finished","-","","","2025-05-20T14:49:43.000Z","2","","2000","20","98","0.001","0.9997820930707356","0.997340673047596","0.997304053473228","40","38.2","0.003627458974466814","0.9974022991697378","0.9972797886915654","0.99972043175938","0.9998890064731516","344126","14664.6"
"AVG_bs(15000)_lr(0.001)_hs(25)_e(20)","finished","-","","","2025-05-22T05:06:05.000Z","1","","15000","20","25","0.001","0.9988474897430054","0.9857540827148344","0.9789237225688096","376","37.6","0.012052580411545931","0.9973845123527016","0.974429918243408","0.9974477669847268","0.999890749828064","344126.6","14328.6"
"AVG_bs(10000)_lr(0.001)_hs(98)_e(30)","finished","-","","","2025-05-21T19:10:32.000Z","2","","10000","30","98","0.001","0.9998311360595692","0.9979406463421062","0.9982948108309128","21.6","39","0.003935625693540916","0.9973509998640177","0.998531077642678","0.9997768743209686","0.9998866820066894","344125.2","14683"
"AVG_bs(10000)_lr(0.01)_hs(25)_e(30)","finished","-","","","2025-05-21T10:26:55.000Z","2","","10000","30","25","0.01","0.9997848796152924","0.997374797128899","0.9973993295615896","38","39.2","0.003599493181617516","0.9973343959672204","0.9974158061017938","0.9997201913321464","0.9998861008782544","344125","14666.6"
"AVG_bs(20000)_lr(0.001)_hs(25)_e(30)","finished","-","","","2025-05-22T20:18:50.000Z","2","","20000","30","25","0.001","0.999162925220826","0.9897068648284824","0.9851865337488483","261.8","38.6","0.010183873099999297","0.9973342847600116","0.9821960036318176","0.998667987951159","0.9998878442331666","344125.6","14442.8"
"AVG_bs(20000)_lr(0.001)_hs(49)_e(20)","finished","-","","","2025-05-22T21:08:47.000Z","2","","20000","20","49","0.001","0.9988792557869164","0.986155328302209","0.9796099384651826","363.2","39","0.011993427491850322","0.9972853760344466","0.9753000744788972","0.9974558740126052","0.99988668199487","344125.2","14341.4"
"AVG_bs(10000)_lr(0.001)_hs(49)_e(10)","finished","-","","","2025-05-21T16:11:44.000Z","2","","10000","10","49","0.001","0.9984579324840496","0.980839331580551","0.9712769784368666","514.4","39","0.013447171387573084","0.9972581224726784","0.9650176512767044","0.9966716376582418","0.9998866819999356","344125.2","14190.2"
"AVG_bs(10000)_lr(0.01)_hs(98)_e(20)","finished","-","","","2025-05-21T13:11:03.000Z","1","","10000","20","98","0.01","0.999772061494492","0.997217983707389","0.9971977978329912","41.4","40.4","0.003614613850691563","0.9972524272674808","0.9971845404304236","0.9997115095512014","0.999882614175184","344123.8","14663.2"
"AVG_bs(15000)_lr(0.01)_hs(25)_e(10)","finished","-","","","2025-05-21T23:58:32.000Z","2","","15000","10","25","0.01","0.9998289068276508","0.9979136687050104","0.9983329473984036","20.4","41","0.0040516037610359495","0.9972157482068428","0.9986126862388676","0.9997672909499908","0.9998808708253372","344123.2","14684.2"
"AVG_bs(2000)_lr(0.001)_hs(49)_e(30)","finished","-","","","2025-05-20T14:11:55.000Z","2","","2000","30","49","0.001","0.99980048418126","0.9975662132316064","0.9977778426239066","30.6","41","0.0035881871125699643","0.9972138933575336","0.9979190279708404","0.9997146380629214","0.9998808708202718","344123.2","14674"
"AVG_bs(2000)_lr(0.001)_hs(98)_e(30)","finished","-","","","2025-05-20T15:29:11.000Z","2","","2000","30","98","0.001","0.9997614727422702","0.9970888845679952","0.9970156633466588","44.6","41","0.0036009201639293073","0.9972113139248308","0.9969669477230658","0.9997105236956724","0.9998808708118292","344123.2","14660"
"AVG_bs(10000)_lr(0.001)_hs(49)_e(30)","finished","-","","","2025-05-21T17:37:02.000Z","1","","10000","30","49","0.001","0.9998283495227774","0.9979069886600732","0.9983547467205376","19.8","41.8","0.004081816285421761","0.997161662652047","0.9986534868370668","0.99977991347518","0.999878546352121","344122.4","14684.8"
"AVG_bs(2000)_lr(0.01)_hs(98)_e(20)","finished","-","","","2025-05-20T11:05:41.000Z","2","","2000","20","98","0.01","0.99977429076834","0.997245656629664","0.9972986178949036","39.2","41.8","0.003702348579309829","0.9971583396905273","0.9973341632815708","0.9997121839936652","0.9998785463436786","344122.4","14665.4"
"AVG_bs(2000)_lr(0.001)_hs(25)_e(10)","finished","-","","","2025-05-20T11:57:00.000Z","2","","2000","10","25","0.001","0.9998188752995488","0.9977911967583102","0.998177886747356","23","42","0.004013283188364262","0.9971474464357356","0.9984358636055704","0.9997862837535664","0.999877965233817","344122.2","14681.6"
"AVG_bs(20000)_lr(0.01)_hs(49)_e(10)","finished","-","","","2025-05-22T15:41:41.000Z","2","","20000","10","49","0.01","0.999827792211692","0.997900213862137","0.9983601879314852","19.6","42.2","0.004036449743176086","0.9971345937280756","0.9986670885780894","0.9997654591144762","0.999877384115513","344122","14685"
"AVG_bs(2000)_lr(0.01)_hs(25)_e(10)","finished","-","","","2025-05-20T07:35:57.000Z","1","","2000","10","25","0.01","0.9997982549633184","0.9975391645297328","0.9977832846827176","30.2","42.2","0.003669592844768582","0.9971331188223804","0.9979462370027294","0.9997140754170964","0.9998773841205782","344122","14674.4"
"AVG_bs(15000)_lr(0.001)_hs(49)_e(20)","finished","-","","","2025-05-22T06:41:02.000Z","1","","15000","20","49","0.001","0.999237604375165","0.9906362055386224","0.9867862487125516","231.8","41.8","0.008057640170833717","0.9971201765297596","0.9842362361110546","0.9996694512228872","0.999878546348744","344122.4","14472.8"
"AVG_bs(2000)_lr(0.01)_hs(49)_e(20)","finished","-","","","2025-05-20T09:32:49.000Z","1","","2000","20","49","0.01","0.999741966941245","0.9968502299342674","0.9966916170775534","50.2","42.4","0.003661838994173902","0.9971154448126088","0.996586089724687","0.9997102033146084","0.9998768029955204","344121.8","14654.4"
"AVG_bs(2000)_lr(0.01)_hs(49)_e(10)","finished","-","","","2025-05-20T09:00:00.000Z","2","","2000","10","49","0.01","0.9997653738825976","0.9971367483031524","0.9971652403324016","41.4","42.8","0.0037254449941489538","0.997090647612185","0.9971845811292748","0.999718520849164","0.9998756407470928","344121.4","14663.2"
"AVG_bs(10000)_lr(0.01)_hs(98)_e(30)","finished","-","","","2025-05-21T14:04:59.000Z","1","","10000","30","98","0.01","0.9997698322703388","0.997191289556956","0.9972524150629998","39.8","42.8","0.003594121864363034","0.9970901514988496","0.9972933497337372","0.9997151635872272","0.9998756407572236","344121.4","14664.8"
"AVG_bs(20000)_lr(0.01)_hs(25)_e(10)","finished","-","","","2025-05-22T14:03:22.000Z","1","","20000","10","25","0.01","0.9998188753057607","0.9977913769285414","0.9982187464448692","22","43","0.004245556017849594","0.9970799518607276","0.9985038741606324","0.9997532198538274","0.9998750596422968","344121.2","14682.6"
"AVG_bs(2000)_lr(0.01)_hs(49)_e(30)","finished","-","","","2025-05-20T10:20:05.000Z","2","","2000","30","49","0.01","0.9997085286146626","0.9964394929563906","0.9960616236903233","61.6","43","0.003726715004724813","0.9970739788413306","0.9958108811338254","0.9997089959843224","0.9998750596422964","344121.2","14643"
"AVG_bs(15000)_lr(0.001)_hs(98)_e(10)","finished","-","","","2025-05-22T07:43:00.000Z","2","","15000","10","98","0.001","0.9971917320219652","0.9645300439212012","0.9460876661841322","967.4","40.4","0.015776032550881305","0.9970726021802448","0.9342114468108564","0.9959902761003908","0.9998826141718068","344123.8","13737.2"
"AVG_bs(20000)_lr(0.001)_hs(98)_e(20)","finished","-","","","2025-05-22T22:48:41.000Z","1","","20000","20","98","0.001","0.9992626831348548","0.990947390701216","0.9873198183411188","221.8","42.8","0.007792788604274392","0.997053460382108","0.9849162796884244","0.9997063545900796","0.9998756407572238","344121.4","14482.8"
"AVG_bs(10000)_lr(0.01)_hs(49)_e(30)","finished","-","","","2025-05-21T12:16:23.000Z","2","","10000","30","49","0.01","0.9997837649341093","0.9973617758054848","0.9975490474325518","34.2","43.4","0.00360237294743355","0.997050795070694","0.9976741799828992","0.9997138184300576","0.9998738974124424","344120.8","14670.4"
"AVG_bs(2000)_lr(0.01)_hs(98)_e(10)","finished","-","","","2025-05-20T10:35:56.000Z","2","","2000","10","98","0.01","0.9997352793215856","0.9967683146850728","0.9966016178653568","51.6","43.4","0.003762936895363964","0.9970479705855168","0.9964909432106732","0.9997119001645338","0.9998738974208848","344120.8","14653"
"AVG_bs(15000)_lr(0.001)_hs(98)_e(30)","finished","-","","","2025-05-22T09:01:33.000Z","2","","15000","30","98","0.001","0.999817203386481","0.9977710383163328","0.9982106064062832","22","43.6","0.0042080749631471315","0.997039305519344","0.9985038723106848","0.9997758709182752","0.9998733162873844","344120.6","14682.6"
"AVG_bs(10000)_lr(0.001)_hs(98)_e(10)","finished","-","","","2025-05-21T17:53:02.000Z","2","","10000","10","98","0.001","0.999242620103498","0.9906989639480104","0.9869341672105172","228.8","43","0.007807494490407407","0.9970382100454652","0.9844402428019456","0.9996942795247548","0.9998750596389196","344121.2","14475.8"
"AVG_bs(15000)_lr(0.0001)_hs(98)_e(20)","finished","-","","","2025-05-22T12:59:27.000Z","1","","15000","20","98","0.0001","0.9839724156510076","0.7573406767458323","0.6619360363541683","5725","26.8","0.08180231445779404","0.9970327141995772","0.6106661763688411","0.9498695505441572","0.9999221301928444","344137.4","8979.6"
